Order_ID,Size,Color,Order,Detail_Divan,Buyer_ID,Order_Date,Finish_Date,Price
280,180,Hitam,Tipe3,Permata,2,1/4/2021,1/11/2021,1700000
281,140,Abu-Abu,Tipe2,Biasa,3,1/5/2021,1/12/2021,700000
282,160,Coklat,Tipe2,Biasa,3,1/5/2021,1/12/2021,700000
283,160,Hitam,Tipe2,Biasa,3,1/5/2021,1/12/2021,700000
284,140,Coklat,Tipe3,Biasa,3,1/5/2021,1/12/2021,1100000
285,160,Hitam,Tipe3,Biasa,3,1/5/2021,1/12/2021,1100000
286,160,Hitam,Tipe4,Biasa,3,1/5/2021,1/12/2021,1300000
287,140,Merah,Tipe4,Biasa,3,1/5/2021,1/12/2021,1300000
288,160,Hitam,Tipe4,Laci,3,1/5/2021,1/12/2021,1600000
289,160,Hitam,Tipe1,Biasa,5,1/6/2021,1/13/2021,1200000
290,180,Hitam,Tipe1,Biasa,5,1/6/2021,1/13/2021,1200000
291,140,Merah,Tipe2,Biasa,5,1/6/2021,1/13/2021,700000
292,140,Hitam,Tipe3,Biasa,5,1/6/2021,1/13/2021,1100000
293,160,Coklat,Tipe4,Biasa,5,1/6/2021,1/13/2021,1300000
294,160,Hitam,Tipe1,Laci,5,1/6/2021,1/13/2021,1500000
295,160,Hitam,Tipe3,Laci,5,1/6/2021,1/13/2021,1400000
296,120,Abu-Abu,Tipe2,Permata,5,1/6/2021,1/13/2021,1300000
297,180,Abu-Abu,Tipe2,Biasa,1,1/10/2021,1/17/2021,700000
298,140,Coklat,Tipe2,Biasa,1,1/10/2021,1/17/2021,700000
299,140,Hitam,Tipe2,Biasa,1,1/10/2021,1/17/2021,700000
300,140,Merah,Tipe2,Biasa,1,1/10/2021,1/17/2021,700000
301,160,Pink,Tipe2,Biasa,1,1/10/2021,1/17/2021,700000
302,140,Abu-Abu,Tipe3,Biasa,1,1/10/2021,1/17/2021,1100000
303,160,Coklat,Tipe3,Biasa,1,1/10/2021,1/17/2021,1100000
304,140,Hitam,Tipe3,Biasa,1,1/10/2021,1/17/2021,1100000
305,180,Hitam,Tipe3,Biasa,1,1/10/2021,1/17/2021,1100000
306,160,Merah,Tipe3,Biasa,1,1/10/2021,1/17/2021,1100000
307,160,Hitam,Tipe4,Biasa,1,1/10/2021,1/17/2021,1300000
308,180,Coklat,Tipe3,Permata,1,1/10/2021,1/17/2021,1700000
309,160,Hitam,Tipe3,Permata,1,1/10/2021,1/17/2021,1700000
310,180,Hitam,Tipe4,Permata,1,1/10/2021,1/17/2021,1900000
311,140,Abu-Abu,Tipe1,Biasa,2,1/11/2021,1/18/2021,1200000
312,160,Abu-Abu,Tipe1,Biasa,2,1/11/2021,1/18/2021,1200000
313,140,Coklat,Tipe2,Biasa,2,1/11/2021,1/18/2021,700000
314,160,Coklat,Tipe2,Biasa,2,1/11/2021,1/18/2021,700000
315,160,Coklat,Tipe2,Biasa,2,1/11/2021,1/18/2021,700000
316,180,Coklat,Tipe2,Biasa,2,1/11/2021,1/18/2021,700000
317,120,Hitam,Tipe2,Biasa,2,1/11/2021,1/18/2021,700000
318,160,Pink,Tipe2,Biasa,2,1/11/2021,1/18/2021,700000
319,160,Pink,Tipe2,Biasa,2,1/11/2021,1/18/2021,700000
320,160,Abu-Abu,Tipe3,Biasa,2,1/11/2021,1/18/2021,1100000
321,180,Abu-Abu,Tipe3,Biasa,2,1/11/2021,1/18/2021,1100000
