order_id;order_date;order_detail/information;order_status;order_deadline
618;07/03/2021;Tipe1 Biasa 140 Abu-Abu;;
619;07/03/2021;Tipe1 Biasa 160 Abu-Abu;;
620;09/03/2021;Tipe1 Biasa 180 Pink;;
621;09/03/2021;Tipe2 Biasa 160 Abu-Abu;;
622;09/03/2021;Tipe2 Biasa 180 Abu-Abu;;
623;09/03/2021;Tipe3 Biasa 160 Hitam;;
624;09/03/2021;Tipe3 Biasa 180 Hitam;;
625;09/03/2021;Tipe3 Biasa 180 Pink;;
626;09/03/2021;Tipe4 Biasa 160 Abu-Abu;;
627;11/03/2021;Tipe4 Biasa 180 Pink;;
628;11/03/2021;Tipe1 Laci 140 Hitam;;
629;11/03/2021;Tipe2 Laci 140 Hitam;;
630;11/03/2021;Tipe2 Permata 180 Coklat;;
631;11/03/2021;Tipe1 Biasa 140 Abu-Abu;;
632;11/03/2021;Tipe1 Biasa 160 Hitam;;
633;11/03/2021;Tipe1 Biasa 160 Hitam;;
634;11/03/2021;Tipe1 Biasa 160 Pink;;
635;11/03/2021;Tipe2 Biasa 160 Abu-Abu;;
636;11/03/2021;Tipe2 Biasa 140 Hitam;;
637;11/03/2021;Tipe2 Biasa 140 Hitam;;
638;11/03/2021;Tipe2 Biasa 160 Hitam;;
639;11/03/2021;Tipe2 Biasa 160 Hitam;;
640;11/03/2021;Tipe2 Biasa 180 Hitam;;
641;14/03/2021;Tipe3 Biasa 160 Hitam;;
642;14/03/2021;Tipe4 Biasa 160 Abu-Abu;;
643;14/03/2021;Tipe4 Biasa 160 Abu-Abu;;
644;14/03/2021;Tipe4 Laci 160 Pink;;
645;14/03/2021;Tipe1 Biasa 180 Coklat;;
646;14/03/2021;Tipe1 Biasa 160 Hitam;;
647;14/03/2021;Tipe1 Biasa 180 Hitam;;
648;14/03/2021;Tipe1 Biasa 140 Pink;;
649;14/03/2021;Tipe2 Biasa 120 Coklat;;
650;14/03/2021;Tipe2 Biasa 160 Hitam;;
651;14/03/2021;Tipe3 Biasa 160 Abu-Abu;;
652;16/03/2021;Tipe3 Biasa 180 Hitam;;
653;16/03/2021;Tipe3 Biasa 160 Pink;;
654;16/03/2021;Tipe4 Biasa 140 Abu-Abu;;
655;16/03/2021;Tipe4 Biasa 160 Coklat;;
656;16/03/2021;Tipe4 Biasa 160 Coklat;;
657;16/03/2021;Tipe4 Laci 120 Hitam;;
658;16/03/2021;Tipe2 Permata 160 Coklat;;
659;16/03/2021;Tipe4 Biasa 140 Hitam;;
660;16/03/2021;Tipe4 Biasa 140 Hitam;;
661;16/03/2021;Tipe1 Biasa 140 Coklat;;
662;16/03/2021;Tipe1 Biasa 160 Coklat;;
663;16/03/2021;Tipe2 Biasa 160 Abu-Abu;;
664;16/03/2021;Tipe2 Biasa 140 Hitam;;
665;18/03/2021;Tipe3 Biasa 140 Hitam;;
666;18/03/2021;Tipe4 Biasa 140 Coklat;;
667;18/03/2021;Tipe4 Biasa 140 Coklat;;
668;18/03/2021;Tipe4 Biasa 180 Coklat;;
669;18/03/2021;Tipe4 Biasa 140 Hitam;;
670;18/03/2021;Tipe4 Biasa 160 Hitam;;
671;18/03/2021;Tipe4 Biasa 180 Hitam;;
672;18/03/2021;Tipe4 Biasa 180 Pink;;
673;18/03/2021;Tipe3 Laci 160 Pink;;
674;18/03/2021;Tipe3 Permata 180 Coklat;;
675;21/03/2021;Tipe1 Biasa 180 Coklat;;
676;21/03/2021;Tipe1 Biasa 120 Hitam;;
677;21/03/2021;Tipe1 Biasa 160 Hitam;;
678;21/03/2021;Tipe1 Biasa 160 Pink;;
679;21/03/2021;Tipe2 Biasa 160 Merah;;
680;21/03/2021;Tipe2 Biasa 180 Pink;;
681;21/03/2021;Tipe3 Biasa 160 Abu-Abu;;
682;21/03/2021;Tipe3 Biasa 160 Hitam;;
683;23/03/2021;Tipe3 Biasa 120 Pink;;
684;23/03/2021;Tipe3 Biasa 160 Pink;;
685;23/03/2021;Tipe4 Biasa 160 Abu-Abu;;
686;23/03/2021;Tipe3 Permata 160 Coklat;;
687;23/03/2021;Tipe3 Permata 120 Hitam;;
688;23/03/2021;Tipe4 Permata 160 Abu-Abu;;
689;25/03/2021;Tipe1 Biasa 160 Hitam;;
690;25/03/2021;Tipe2 Biasa 180 Hitam;;
691;25/03/2021;Tipe3 Biasa 140 Coklat;;
692;25/03/2021;Tipe4 Biasa 140 Abu-Abu;;
693;25/03/2021;Tipe4 Biasa 180 Hitam;;
694;25/03/2021;Tipe2 Permata 180 Hitam;;
695;25/03/2021;Tipe3 Permata 160 Hitam;;
